# coordinate	name	kind	language	homepage	stars	updated	description
# Generated by "vise sync" from the Mason registry, mise registry and GitHub.
# Do not hand-edit; edits are lost on sync. Use catalog-overrides.tsv instead.
pipx:pydoclint	pydoclint	linter	python	https://github.com/jsh9/pydoclint	217	2026-07-03	A very fast Python docstring linter.
pipx:pydocstyle	pydocstyle	linter	python	https://www.pydocstyle.org/	-	-	pydocstyle is a static analysis tool for checking compliance with Python docstring conventions.
pipx:pyflakes	pyflakes	linter	python	https://pypi.org/project/pyflakes/	-	-	A simple program which checks Python source files for errors. Pyflakes analyzes programs and detects various errors. It works by parsing the source file, not importing it, so it is safe to use on modules with side effects. It’s also much faster.
pipx:pyink	pyink	formatter	python	https://pypi.org/project/pyink/	-	-	Pyink is a Python formatter, forked from Black with a few different formatting behaviors.
pipx:pylama	pylama	linter	python	https://klen.github.io/pylama/	-	-	Code audit tool for Python.
pipx:pylint	pylint	linter	python	https://pypi.org/project/pylint/	-	-	Pylint is a static code analyser for Python 2 or 3.
github:mtshiba/pylyzer	pylyzer	lsp	python	https://github.com/mtshiba/pylyzer	2860	2025-05-10	A fast static code analyzer & language server for Python.
pipx:pymarkdownlnt	pymarkdownlnt	linter	markdown	https://pypi.org/project/pymarkdownlnt/	-	-	PyMarkdown is primarily a Markdown linter.
pipx:pyment	pyment	formatter	python	https://pypi.org/project/pyment/	-	-	Create, update or convert docstrings in existing Python files, managing several styles.
pipx:pyproject-flake8	pyproject-flake8	linter	python	https://github.com/csachs/pyproject-flake8	178	2024-07-09	A monkey patching wrapper to connect flake8 with pyproject.toml configuration.
pipx:pyproject-fmt	pyproject-fmt	formatter	python,toml	https://pypi.org/project/pyproject-fmt/	-	-	Format your pyproject.toml file
pipx:pyre-check	pyre	lsp,linter	python	https://pypi.org/project/pyre-check/	-	-	Pyre is a performant type checker for Python compliant with PEP 484.
github:facebook/pyrefly	pyrefly	lsp,linter	python	https://pyrefly.org/	-	-	Pyrefly, a faster Python type checker written in Rust
npm:pyright	pyright	lsp	python	https://github.com/microsoft/pyright	15561	2026-07-29	Static type checker for Python.
pipx:pytest-language-server	pytest-language-server	lsp	python	https://github.com/bellini666/pytest-language-server	119	2026-08-01	A language server for pytest
pipx:python-lsp-server	python-lsp-server	lsp	python	https://github.com/python-lsp/python-lsp-server	2588	2026-07-27	Fork of the python-language-server project, maintained by the Spyder IDE team and the community.
github:TheQtCompanyRnD/qmlls-workflow	qmlls	lsp	qml	https://doc-snapshots.qt.io/qt6-dev/qtqml-tooling-qmlls.html	-	-	QML Language Server is a tool shipped with Qt that helps you write code in your favorite (LSP-supporting) editor.
unavailable:quick-lint-js	quick-lint-js	lsp,linter	javascript,typescript	https://quick-lint-js.com/	-	-	Over 130× faster than ESLint, quick-lint-js gives you instant feedback as you code. Find bugs in your JavaScript before your finger leaves the keyboard. Lint any JavaScript file with no configuration.
github:mason-org/r-languageserver	r-languageserver	lsp	r	https://github.com/REditorSupport/languageserver	672	2026-08-02	An implementation of the Language Server Protocol for R.
github:bscan/RakuNavigator	raku-navigator	lsp	raku	https://github.com/bscan/RakuNavigator	72	2026-03-29	Raku Language Server that includes Raku critic and code navigation.
pipx:rassumfrassum	rassumfrassum	lsp	python	https://github.com/joaotavora/rassumfrassum	258	2026-07-21	Connect an LSP client to multiple LSP servers.
github:jaredly/reason-language-server	reason-language-server	lsp	reason	https://github.com/jaredly/reason-language-server	650	2023-05-14	A language server for reason, in reason.
pipx:reformat-gherkin	reformat-gherkin	formatter	cucumber	https://pypi.org/project/reformat-gherkin/	-	-	Reformat-gherkin automatically formats Gherkin files.
pipx:refurb	refurb	linter	python	https://github.com/dosisod/refurb	2534	2026-04-03	A tool for refurbishing and modernizing Python codebases.
regal	regal	linter,lsp	rego	https://github.com/styrainc/regal	397	2026-08-01	A linter for Rego, with support for running as an LSP server.
go:github.com/kitagry/regols	regols	lsp	rego	https://github.com/kitagry/regols	39	2024-08-30	OPA Rego language server
npm:remark-cli	remark-cli	formatter	markdown	https://remark.js.org/	-	-	Command line interface to inspect and change markdown files with remark.
npm:remark-language-server	remark-language-server	lsp	markdown	https://github.com/remarkjs/remark-language-server	54	2026-05-19	A language server to lint and format markdown files with remark.
pipx:reorder-python-imports	reorder-python-imports	formatter	python	https://github.com/asottile/reorder_python_imports	784	2026-07-15	Tool for automatically reordering python imports. Similar to isort but uses static analysis more.
npm:@rescript/language-server	rescript-language-server	lsp	rescript	https://github.com/rescript-lang/rescript-vscode/tree/master/server	-	-	Language Server for ReScript.
revive	revive	linter	go	https://github.com/mgechev/revive	5542	2026-07-27	~6x faster, stricter, configurable, extensible, and beautiful drop-in replacement for golint.
cargo:rnix-lsp	rnix-lsp	lsp	nix	https://github.com/nix-community/rnix-lsp	710	2024-01-15	Language Server for Nix.
pipx:robotcode	robotcode	lsp	robot framework	https://robotcode.io/	-	-	The Ultimate Robot Framework Toolset
pipx:robotframework-lsp	robotframework-lsp	lsp	robot framework	https://github.com/robocorp/robotframework-lsp	211	2024-10-03	Language Server Protocol implementation for Robot Framework.
github:roc-lang/roc	roc_language_server	lsp	roc	https://github.com/roc-lang/roc/tree/main/crates/language_server#roc_language_server	-	-	This is a basic language server for Roc.
dotnet:roslyn-language-server	roslyn-language-server	lsp	c#	https://github.com/dotnet/roslyn	20586	2026-08-01	Roslyn-based C# language server providing rich IntelliSense, refactoring, and diagnostics. Requires dotnet to be installed.
pipx:rpm-spec-language-server	rpm_lsp_server	lsp	spec	https://github.com/dcermak/rpm-spec-language-server	45	2026-07-31	Language server protocol (LSP) support for RPM Spec files.
pipx:rpmlint	rpmlint	linter	python	https://pypi.org/project/rpmlint/	-	-	Rpmlint is a tool for checking common errors in RPM packages.
github:rshtml/rshtml-analyzer	rshtml-analyzer	lsp	rshtml	https://github.com/rshtml/rshtml-analyzer	3	2026-03-08	rshtml-analyzer is an implementation of the Language Server Protocol (LSP) for the RsHtml templating language which elegantly combines Rust and HTML.
pipx:rstcheck	rstcheck	linter	restructuredtext	https://rstcheck.readthedocs.io/	-	-	Checks syntax of reStructuredText and code blocks nested within it.
gem:rubocop	rubocop	lsp,linter,formatter	ruby	https://rubocop.org	-	-	The Ruby Linter/Formatter that Serves and Protects.
gem:ruby-lsp	ruby-lsp	lsp	ruby	https://github.com/Shopify/ruby-lsp	2021	2026-07-29	This gem is an implementation of the language server protocol specification for Ruby, used to improve editor features.
github:fables-tales/rubyfmt	rubyfmt	formatter	ruby	https://github.com/fables-tales/rubyfmt	1225	2026-07-29	Ruby Autoformatter!
ruff	ruff	lsp,linter,formatter	python	https://github.com/astral-sh/ruff/	48966	2026-08-02	An extremely fast Python linter and code formatter, written in Rust.
gem:rufo	rufo	formatter	ruby	https://github.com/ruby-formatter/rufo	939	2026-05-28	Rufo is as an opinionated ruby formatter, intended to be used via the command line as a text-editor plugin, to autoformat files on save or on demand. Unlike the best known Ruby formatter RuboCop, Rufo offers little in the way of configuration. Like other language formatters such as gofmt, prettier, and autopep8, we strive to find a "one true format" for Ruby code, and make sure your code adheres to it, with zero config where possible.
rumdl	rumdl	linter,formatter,lsp	markdown	https://github.com/rvben/rumdl	1378	2026-08-02	Fast Markdown linter and formatter.
github:vhdl-ls/rust_hdl	rust_hdl	lsp	vhdl	https://github.com/VHDL-LS/rust_hdl	501	2026-07-13	rust_hdl is a VHDL language server and analysis library written in Rust. A complete VHDL language server protocol implementation with diagnostics, navigate to symbol, find all references etc.
rust-analyzer	rust-analyzer	lsp	rust	https://github.com/rust-lang/rust-analyzer	16720	2026-08-02	rust-analyzer is an implementation of the Language Server Protocol for the Rust programming language. It provides features like completion and goto definition for many code editors, including VS Code, Emacs and Vim.
npm:rustywind	rustywind	formatter	angular,html,jsx,javascript,typescript,vue	https://github.com/avencera/rustywind	621	2026-07-21	CLI for organizing Tailwind CSS classes.
pipx:salt-lint	salt-lint	linter	salt	https://github.com/warpnet/salt-lint	160	2026-05-06	A command-line utility that checks for best practices in SaltStack.
pipx:salt-lsp	salt-lsp	lsp	salt	https://github.com/dcermak/salt-lsp	24	2024-02-16	Salt Language Server Protocol Server.
github:Kampfkarren/selene	selene	linter	lua,luau	https://kampfkarren.github.io/selene/	-	-	A blazing-fast modern Lua linter written in Rust.
semgrep	semgrep	linter	c#,go,json,java,javascript,php,python,ruby,scala,typescript	https://github.com/returntocorp/semgrep	16090	2026-07-31	Semgrep is a fast, open-source, static analysis engine for finding bugs, detecting vulnerabilities in third-party dependencies, and enforcing code standards.
github:Pure-D/serve-d	serve-d	lsp	d	https://github.com/Pure-D/serve-d	263	2026-07-19	Microsoft language server protocol implementation for D using workspace-d.
shellcheck	shellcheck	linter	bash	https://www.shellcheck.net/	-	-	ShellCheck, a static analysis tool for shell scripts.
cargo:shellharden	shellharden	formatter,linter	bash	https://github.com/anordal/shellharden	4793	2026-07-09	The corrective bash syntax highlighter.
shfmt	shfmt	formatter	bash	https://github.com/mvdan/sh	8936	2026-07-28	A shell formatter (sh/bash/zsh/mksh).
npm:@shopify/cli	shopify-cli	lsp,linter	liquid	https://shopify.dev/docs/api/shopify-cli	-	-	Command-line interface tool that helps you generate and work with Shopify apps, themes and custom storefronts.
github:ewhauser/shuck	shuck	lsp,linter,formatter	bash,zsh,sh,mksh	https://ewhauser.github.io/shuck/	-	-	A lightning fast shell linter, formatter, and LSP server for bash, zsh, posix, and mksh dialects.
github:LaBatata101/sith-language-server	sith-language-server	lsp	python	https://github.com/LaBatata101/sith-language-server	124	2025-05-31	An experimental language server for the Python programming language. - made in Rust.
github:shader-slang/slang	slang	lsp	slang	https://shader-slang.com/	-	-	Slang is a shading language that makes it easier to build and maintain large shader codebases in a modular and extensible fashion, while also maintaining the highest possible performance on modern GPUs and graphics APIs. Slang is based on years of collaboration between researchers at NVIDIA, Carnegie Mellon University, and Stanford.
github:hudson-trading/slang-server	slang-server	lsp	systemverilog,verilog	https://github.com/hudson-trading/slang-server	288	2026-07-30	A SystemVerilog language server based on the Slang library.
github:nrempel/sleek	sleek	formatter	sql	https://github.com/nrempel/sleek	281	2025-11-18	Sleek is a CLI tool for formatting SQL.
github:slint-ui/slint	slint-lsp	lsp	slint	https://slint-ui.com/	-	-	A LSP Server that adds features like auto-complete and live preview of the .slint files to many editors.
github:awslabs/smithy-language-server	smithy-language-server	lsp	smithy	https://github.com/awslabs/smithy-language-server	44	2026-07-24	A Language Server Protocol implementation for the Smithy IDL.
pipx:snakefmt	snakefmt	formatter	snakemake	https://github.com/snakemake/snakefmt	195	2026-07-24	The uncompromising Snakemake code formatter.
npm:@snakeskin/cli	snakeskin-cli	lsp	snakeskin	https://github.com/SnakeskinTpl/language-tools/tree/main/packages/cli	-	-	Snakeskin is an awesome JavaScript template engine with the best support for inheritance.
snyk	snyk	lsp,linter	.net,apex,c#,c++,dart,docker,elixir,go,groovy,helm,java,javascript,kotlin,php,python,ruby,rust,scala,swift,terraform,typescript	https://github.com/snyk/cli	5626	2026-08-02	Snyk CLI scans and monitors your projects for security vulnerabilities
github:snyk/snyk-ls	snyk-ls	lsp	snyk	https://github.com/snyk/snyk-ls	83	2026-07-31	The language server follows the Language Server Protocol and integrates with Snyk Open Source, Snyk Infrastructure as Code and Snyk Code. For the former two, it uses the Snyk CLI as a data provider, for the latter it is connecting directly to the Snyk Code API.
github:hyperledger-labs/solang	solang	lsp	solidity	https://solang.readthedocs.io/en/latest/	-	-	Solidity Compiler for Solana, Substrate, and ewasm.
github:hyperledger/solang-llvm	solang-llvm	lsp	solidity	https://github.com/hyperledger/solang-llvm	1	2024-05-02	Solang requires Solana's LLVM fork. We provide pre-built binaries compatible with Solang.
gem:solargraph	solargraph	lsp	ruby	https://solargraph.org	-	-	Solargraph is a Ruby gem that provides intellisense features through the language server protocol.
npm:solhint	solhint	linter	solidity	https://protofire.github.io/solhint/	-	-	Solhint is a linting utility for Solidity code.
solidity	solidity	lsp	solidity	https://github.com/ethereum/solidity	25693	2026-07-30	Solidity, the Smart Contract Programming Language.
npm:solidity-ls	solidity-ls	lsp	solidity	https://github.com/qiuxiang/solidity-ls	65	2024-02-10	Solidity language server.
npm:some-sass-language-server	some-sass-language-server	lsp	scss	https://github.com/wkillerud/some-sass/tree/main/packages/language-server	-	-	Full support for @use and @forward, including aliases, prefixes and hiding. Rich documentation through SassDoc. Workspace-wide code navigation and refactoring.
github:SonarSource/sonarlint-vscode	sonarlint-language-server	linter	azureresourcemanager,c,c++,c#,cloudformation,css,docker,go,html,ipython,java,javascript,kubernetes,typescript,python,php,terraform,text,xml,yaml	https://github.com/SonarSource/sonarlint-vscode	622	2026-08-01	SonarLint Language Server.
gem:sorbet	sorbet	lsp	ruby	https://sorbet.org/	-	-	Sorbet is a fast, powerful type checker designed for Ruby.
sourcery	sourcery	lsp	python	https://docs.sourcery.ai/	-	-	Sourcery is a tool available in your IDE, GitHub, or as a CLI that suggests refactoring improvements to help make your code more readable and generally higher quality.
github:stoplightio/vscode-spectral	spectral-language-server	lsp	json,yaml	https://github.com/stoplightio/vscode-spectral	78	2025-03-28	Awesome Spectral JSON/YAML linter with OpenAPI/AsyncAPI support. Spectral is a flexible object linter with out of the box support for OpenAPI v2 and v3, JSON Schema, and AsyncAPI.
pipx:sphinx-lint	sphinx-lint	linter	restructuredtext,python	https://github.com/sphinx-contrib/sphinx-lint	103	2026-07-06	Linter for stylistic and formal issues in Sphinx documentation
npm:@spyglassmc/language-server	spyglassmc-language-server	lsp	mcfunction	https://github.com/SpyglassMC/Spyglass/tree/main/packages/language-server	-	-	This is a language server wrapped around some other Spyglass packages.
npm:sql-formatter	sql-formatter	formatter	sql	https://sql-formatter-org.github.io/sql-formatter/	-	-	A whitespace formatter for different query languages.
pipx:sqlfluff	sqlfluff	linter,formatter	sql	https://github.com/sqlfluff/sqlfluff	9846	2026-08-02	SQLFluff is a dialect-flexible and configurable SQL linter.
pipx:shandy-sqlfmt	sqlfmt	formatter	sql	https://sqlfmt.com/	-	-	sqlfmt formats your dbt SQL files so you don't have to. It is similar in nature to black, gofmt, and rustfmt (but for SQL).
npm:sql-language-server	sqlls	lsp	sql	https://github.com/joe-re/sql-language-server	771	2024-12-05	SQL Language Server.
go:github.com/sqls-server/sqls	sqls	lsp	sql	https://github.com/sqls-server/sqls	1329	2026-07-15	SQL language server written in Go.
github:quarylabs/sqruff	sqruff	formatter,linter	sql	https://github.com/quarylabs/sqruff	1361	2026-08-02	A high-speed SQL linter written in Rust.
github:sbdchd/squawk	squawk	linter	postgres,sql	https://github.com/sbdchd/squawk	1146	2026-08-01	Linter for Postgres migrations & SQL
npm:stan-language-server-bin	stan-language-server	lsp	stan	https://github.com/tomatitito/stan-language-server	13	2026-07-30	Language server for the Stan probabilistic programming language.
npm:standard	standardjs	linter,formatter	javascript	https://standardjs.com	-	-	JavaScript Style Guide, with linter & automatic code fixer.
gem:standard	standardrb	formatter,linter	ruby	https://github.com/testdouble/standard/	2914	2026-08-01	Ruby Style Guide, with linter and automatic code fixer.
cargo:starlark_bin	starlark-rust	lsp	starlark	https://github.com/facebook/starlark-rust/	1002	2026-08-01	A Rust implementation of the Starlark language
github:withered-magic/starpls	starpls	lsp	starlark	https://github.com/withered-magic/starpls	214	2025-12-03	Starpls is an LSP implementation for Starlark, the configuration language used by Bazel and Buck2.
staticcheck	staticcheck	linter	go	https://staticcheck.io/	-	-	The advanced Go linter.
cargo:statix	statix	linter	nix	https://github.com/oppiliappan/statix	936	2026-07-26	lints and suggestions for the nix programming language
gem:steep	steep	lsp	ruby	https://github.com/soutaro/steep	1486	2026-07-28	Static type checker for Ruby
npm:stimulus-language-server	stimulus-language-server	lsp	blade,html,php,ruby	https://github.com/marcoroth/stimulus-lsp	303	2026-08-01	Intelligent Stimulus tooling
gem:syntax_tree	stree	lsp	ruby	https://ruby-syntax-tree.github.io/syntax_tree/	-	-	A fast Ruby parser and formatter.
npm:stylelint	stylelint	linter	css	https://stylelint.io	-	-	A mighty CSS linter that helps you avoid errors and enforce conventions.
npm:@stylelint/language-server	stylelint-language-server	lsp	stylelint	https://github.com/stylelint/vscode-stylelint	341	2026-08-01	A stylelint Language Server.
npm:stylelint-lsp	stylelint-lsp	lsp	stylelint	https://github.com/bmatcuk/stylelint-lsp	55	2026-07-19	DEPRECATED: stylelint-lsp is deprecated in favor of stylelint-language-server — A stylelint Language Server.
stylua	stylua	lsp,formatter	lua	https://github.com/JohnnyMorganz/StyLua	2264	2026-07-25	An opinionated Lua code formatter.
superhtml	superhtml	lsp,formatter	html,superhtml	https://github.com/kristoff-it/superhtml	1356	2026-07-19	HTML Language Server & Templating Language Library
npm:svelte-language-server	svelte-language-server	lsp	svelte	https://github.com/sveltejs/language-tools	1437	2026-07-27	A language server (implementing the language server protocol) for Svelte.
npm:@imc-trading/svlangserver	svlangserver	lsp	systemverilog	https://github.com/imc-trading/svlangserver	137	2025-11-17	A language server for systemverilog that has been tested to work with coc.nvim, VSCode, Sublime Text 4, emacs, and Neovim.
cargo:svls	svls	lsp	systemverilog	https://github.com/dalance/svls	582	2026-07-28	SystemVerilog language server
swiftformat	swiftformat	formatter	swift	https://github.com/nicklockwood/SwiftFormat	8873	2026-08-01	A command-line tool and Xcode Extension for formatting Swift code.
swiftlint	swiftlint	linter	swift	https://github.com/realm/SwiftLint	19681	2026-08-01	A tool to enforce Swift style and conventions.
github:JFryy/systemd-lsp	systemd-lsp	lsp	systemd	https://github.com/JFryy/systemd-lsp	437	2026-07-05	a language server implementation for systemd unit files made in rust
pipx:systemdlint	systemdlint	linter	systemd	https://github.com/priv-kweihmann/systemdlint	53	2026-01-30	Systemd Unitfile Linter
npm:tabby-agent	tabby-agent	lsp	any	https://github.com/TabbyML/tabby	33812	2026-06-30	Tabby is a self-hosted AI coding assistant, offering an open-source and on-premises alternative to GitHub Copilot.
npm:@tailwindcss/language-server	tailwindcss-language-server	lsp	css	https://github.com/tailwindlabs/tailwindcss-intellisense	3459	2026-07-28	Language Server Protocol implementation for Tailwind CSS.
aqua:tamasfe/taplo	taplo	lsp,formatter	toml	https://taplo.tamasfe.dev/	-	-	A versatile, feature-rich TOML toolkit.
pipx:tclint	tclint	linter,formatter,lsp	tcl	https://github.com/nmoroze/tclint	110	2026-08-01	Modern dev tools for Tcl • includes a linter, formatter, and editor integration.
unavailable:teal-language-server	teal-language-server	lsp	teal	https://github.com/teal-language/teal-language-server	123	2026-07-27	A language server for Teal, a typed dialect of Lua.
github:a-h/templ	templ	lsp	go,html	https://templ.guide	-	-	templ is the official language server for the templ HTML templating language. It provides IDE features to any LSP-compatible editor.
pipx:termux-language-server	termux-language-server	lsp	bash	https://termux-language-server.readthedocs.io/en/latest/	-	-	A language server for some specific bash scripts.
terraform	terraform	formatter,linter	terraform	https://www.terraform.io/	-	-	Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.
aqua:hashicorp/terraform-ls	terraform-ls	lsp	terraform	https://github.com/hashicorp/terraform-ls	1199	2026-07-31	Terraform Language Server.
github:gruntwork-io/terragrunt-ls	terragrunt-ls	lsp	hcl	https://github.com/gruntwork-io/terragrunt-ls	48	2026-08-01	Language server for Terragrunt configuration files.
github:WGUNDERWOOD/tex-fmt	tex-fmt	formatter	latex	https://github.com/WGUNDERWOOD/tex-fmt	845	2026-07-20	An extremely fast LaTeX formatter written in Rust.
github:latex-lsp/texlab	texlab	lsp	latex	https://github.com/latex-lsp/texlab	1999	2026-07-27	An implementation of the Language Server Protocol for LaTeX.
npm:textlint	textlint	linter	text,markdown	https://textlint.github.io	-	-	The pluggable natural language linter for text and markdown.
pipx:textLSP	textlsp	lsp	text,latex,org	https://github.com/hangyav/textLSP	90	2026-05-01	Language server for text spell and grammar check with various tools.
tflint	tflint	lsp,linter	terraform	https://github.com/terraform-linters/tflint	5781	2026-08-01	A Pluggable Terraform Linter.
tfsec	tfsec	linter	terraform	https://github.com/aquasecurity/tfsec	7022	2026-03-25	Security scanner for your Terraform code
github:joyme123/thrift-ls	thriftls	lsp	thrift	https://github.com/joyme123/thrift-ls	21	2026-01-20	thriftls is a Thrift language server. It provides IDE features to any LSP-compatible editor.
tilt	tilt	lsp	starlark	https://tilt.dev/	-	-	Define your dev environment as code. For microservice apps on Kubernetes.
tinymist	tinymist	lsp	typst	https://github.com/Myriad-Dreamin/tinymist	3444	2026-08-02	Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst]. You can also call it "微霭" [wēi ǎi] in Chinese.
unavailable:tlint	tlint	formatter,linter	php,blade	https://github.com/tighten/tlint	526	2026-04-30	Tighten linter for Laravel conventions with support for formatting.
github:opentofu/tofu-ls	tofu-ls	lsp	opentofu	https://github.com/opentofu/tofu-ls	181	2026-07-08	OpenTofu Language Server
tombi	tombi	formatter,linter,lsp	toml	https://github.com/tombi-toml/tombi	1062	2026-08-02	TOML Formatter / Linter / Language Server
trivy	trivy	linter	c,c#,c++,dart,docker,elixir,go,helm,java,javascript,php,python,ruby,rust,terraform,typescript	https://github.com/aquasecurity/trivy	37209	2026-08-01	Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more.
trufflehog	trufflehog	linter	any	https://github.com/trufflesecurity/trufflehog	27279	2026-07-31	Find and verify credentials.
github:ribru17/ts_query_ls	ts_query_ls	lsp	query	https://github.com/ribru17/ts_query_ls	149	2026-07-09	An LSP implementation for Tree-sitter's query files
npm:ts-standard	ts-standard	linter,formatter	typescript	https://github.com/standard/ts-standard	493	2023-09-16	Typescript style guide, linter, and formatter using StandardJS.
npm:@typescript/native-preview	tsgo	lsp	typescript,javascript	https://github.com/microsoft/typescript-go	26120	2026-08-02	Native TypeScript compiler port. Language Server Protocol support with partial features including errors, hover, go to definition, references, and signature help.
npm:@typespec/compiler	tsp-server	lsp	typespec	https://github.com/microsoft/typespec	5810	2026-08-01	The language server for TypeSpec, a language for defining cloud service APIs and shapes.
npm:turtle-language-server	turtle-language-server	lsp	turtle	https://github.com/stardog-union/stardog-language-servers	40	2026-04-06	A language server (by Stardog) for Turtle
unavailable:twig-cs-fixer	twig-cs-fixer	formatter	twig	https://github.com/VincentLanglet/Twig-CS-Fixer	345	2026-06-29	A tool to automatically fix Twig Coding Standards issues
github:friendsoftwig/twigcs	twigcs	linter	twig	https://github.com/friendsoftwig/twigcs	358	2026-01-23	The missing checkstyle for twig! Twigcs aims to be what phpcs is to php. It checks your codebase for violations on coding standards.
npm:twiggy-language-server	twiggy-language-server	lsp,linter	twig,html	https://github.com/moetelo/twiggy	60	2026-08-01	Twig Language Server.
ty	ty	lsp,linter	python	https://github.com/astral-sh/ty	19358	2026-07-29	An extremely fast Python type checker and language server, written in Rust.
npm:typescript	typescript	lsp	typescript,javascript	-	-	-	-
npm:typescript-language-server	typescript-language-server	lsp	typescript,javascript	https://github.com/typescript-language-server/typescript-language-server	2541	2026-08-02	TypeScript & JavaScript Language Server.
typos	typos	linter	any	https://github.com/crate-ci/typos	4060	2026-08-01	Source code spell checker
github:tekumara/typos-vscode	typos-lsp	lsp	any	https://github.com/tekumara/typos-vscode	570	2026-08-02	Source code spell checker
typstyle	typstyle	formatter	typst	https://github.com/Enter-tainer/typstyle	870	2026-08-02	Beautiful and reliable typst code formatter
npm:unocss-language-server	unocss-language-server	lsp	css	https://github.com/xna00/unocss-language-server	85	2026-05-25	Language Server Protocol implementation for UnoCSS.
pipx:usort	usort	formatter	python	https://usort.readthedocs.io/	-	-	Safe, minimal import sorting for Python projects.
github:vlang/v-analyzer	v-analyzer	lsp	v	https://github.com/vlang/v-analyzer	206	2026-06-20	The @vlang language server, for all your editing needs like go-to-definition, code completion, type hints, and more.
vacuum	vacuum	linter	openapi	https://github.com/daveshanley/vacuum	1111	2026-08-01	vacuum is the worlds fastest OpenAPI 3, OpenAPI 2 / Swagger linter and quality analysis tool. Built in go, it tears through API specs faster than you can think. vacuum is compatible with Spectral rulesets and generates compatible reports.
github:vala-lang/vala-language-server	vala-language-server	lsp	vala	https://github.com/vala-lang/vala-language-server	333	2026-08-01	Code Intelligence for Vala & Genie.
vale	vale	linter	text,markdown,latex	https://vale.sh/	-	-	A syntax-aware linter for prose built with speed and extensibility in mind.
github:errata-ai/vale-ls	vale-ls	lsp	text,markdown	https://vale.sh/	-	-	An implementation of the Language Server Protocol (LSP) for the Vale command-line tool.
pipx:VectorCode	vectorcode	lsp	python	https://github.com/Davidyz/VectorCode	873	2026-02-23	A code repository indexing tool to supercharge your LLM experience.
github:chipsalliance/verible	verible	lsp,linter,formatter	systemverilog	https://chipsalliance.github.io/verible/	-	-	Verible is a suite of SystemVerilog developer tools, including a parser, style-linter, and formatter.
github:veryl-lang/veryl	veryl-ls	lsp	veryl	https://github.com/veryl-lang/veryl	993	2026-08-02	Veryl language server.
github:vespa-engine/vespa	vespa-language-server	lsp	sd,yql	https://github.com/vespa-engine/vespa/tree/master/integration/schema-language-server	-	-	Language support for the Vespa Schema language.
npm:vls	vetur-vls	lsp	vue	https://github.com/vuejs/vetur	5749	2024-06-14	VLS (Vue Language Server) is a language server implementation compatible with Language Server Protocol.
pipx:vsg	vhdl-style-guide	formatter	vhdl	https://github.com/jeremiah-c-leary/vhdl-style-guide	247	2026-07-24	Style guide enforcement for VHDL
npm:vim-language-server	vim-language-server	lsp	vimscript	https://github.com/iamcco/vim-language-server	543	2023-06-26	VimScript language server.
pipx:vim-vint	vint	linter	vimscript	https://github.com/Vimjas/vint	707	2023-12-29	Fast and Highly Extensible Vim script Language Lint implemented in Python.
github:vlang/vls	vls	lsp	v	https://github.com/vlang/vls	369	2026-07-29	V language server.
unavailable:vscode-home-assistant	vscode-home-assistant	lsp	yaml	https://github.com/keesschollaart81/vscode-home-assistant	705	2026-03-10	Language Server Protocol implementation for Home Assistant.
npm:vscode-langservers-extracted	vscode-langservers-extracted	lsp	html,css,json	-	-	-	-
npm:vscode-solidity-server	vscode-solidity-server	lsp	solidity	https://github.com/juanfranblanco/vscode-solidity	958	2026-05-28	Solidity language server.
unavailable:vscode-spring-boot-tools	vscode-spring-boot-tools	lsp	java	https://github.com/spring-projects/spring-tools	975	2026-08-01	VS Code Language Server for Spring Boot VSCode extension and Language Server providing support for working with Spring Boot application.properties, application.yml and .java files. Note: this extension has a dependency on VS Code extension of Language Support for Java™ by Red Hat.
npm:@vtsls/language-server	vtsls	lsp	javascript,typescript	https://github.com/yioneko/vtsls	1068	2026-08-02	LSP wrapper around the TypeScript extension bundled with VSCode.
npm:@vue/language-server	vue-language-server	lsp	vue	https://github.com/vuejs/language-tools	6699	2026-08-02	⚡ Explore high-performance tooling for Vue.
pipx:vulture	vulture	linter	python	https://github.com/jendrikseipp/vulture	4745	2026-04-30	Vulture finds unused code in Python programs. This is useful for cleaning up and finding errors in large code bases. If you run Vulture on both your library and test suite you can find untested code. Due to Python's dynamic nature, static code analyzers like Vulture are likely to miss some dead code. Also, code that is only called implicitly may be reported as unused. Nonetheless, Vulture can be a very helpful tool for higher code quality.
github:g-plane/wasm-language-tools	wasm-language-tools	lsp,formatter,linter	webassembly	https://github.com/g-plane/wasm-language-tools	91	2026-08-01	Language server and other tools for WebAssembly.
github:wc-toolkit/wc-language-server	wc-language-server	lsp	html,javascript,typescript	https://github.com/wc-toolkit/wc-language-server	45	2026-04-17	Language server that surfaces Web Components metadata, completions, and diagnostics. Provides rich language features for HTML, JSX/TSX, Vue, Svelte, Astro, and other templating languages that use Custom Elements.
github:wgsl-analyzer/wgsl-analyzer	wgsl-analyzer	lsp	wgsl	https://github.com/wgsl-analyzer/wgsl-analyzer	689	2026-07-30	A language server implementation for the WGSL shading language.
npm:winglang	wing	lsp	wing	https://github.com/winglang/wing	5394	2026-06-12	A programming language for the cloud
